#Aurora Hemispheric Power Tabular Values
# Product: Ovation Aurora Short Term Forecast    http://services.swpc.noaa.gov/text/aurora-nowcast-hemi-power.txt
# Timestamp is the valid time of a 30 minute forecast
# This file contains data for 2024-03-03
#
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center.
# Please send comments and suggestions to SWPC.CustomerSupport@noaa.gov
#
# Missing Data:  (n/a)
# Cadence:   5 minutes
#
# Tabular Data Format
#
# Observation        Forecast            North-Hemispheric-Power-Index    South-Hemispheric-Power-Index-GigaWatts
# YYYY-MM-DD_HH:MM   YYYY-MM-DD_HH:MM    GigaWatts    			  GigaWatts
#------------------------------------------------------------------------------------------------
2024-03-03_00:00    2024-03-03_01:29      23      22
2024-03-03_00:05    2024-03-03_01:34      23      22
2024-03-03_00:10    2024-03-03_01:39      23      22
2024-03-03_00:15    2024-03-03_01:44      23      22
2024-03-03_00:20    2024-03-03_01:49      22      22
2024-03-03_00:25    2024-03-03_01:54      22      21
2024-03-03_00:30    2024-03-03_01:59      22      21
2024-03-03_00:35    2024-03-03_02:04      21      20
2024-03-03_00:40    2024-03-03_02:09      21      20
2024-03-03_00:45    2024-03-03_02:14      20      20
2024-03-03_00:50    2024-03-03_02:19      20      19
2024-03-03_00:55    2024-03-03_02:24      19      19
2024-03-03_01:00    2024-03-03_02:28      19      18
2024-03-03_01:05    2024-03-03_02:33      18      18
2024-03-03_01:10    2024-03-03_02:38      18      18
2024-03-03_01:15    2024-03-03_02:43      18      17
2024-03-03_01:20    2024-03-03_02:48      18      17
2024-03-03_01:25    2024-03-03_02:54      17      17
2024-03-03_01:30    2024-03-03_02:59      17      17
2024-03-03_01:35    2024-03-03_03:04      17      16
2024-03-03_01:40    2024-03-03_03:09      17      16
2024-03-03_01:45    2024-03-03_03:14      17      16
2024-03-03_01:50    2024-03-03_03:19      17      16
2024-03-03_01:55    2024-03-03_03:24      16      16
2024-03-03_02:00    2024-03-03_03:29      16      16
2024-03-03_02:05    2024-03-03_03:34      16      16
2024-03-03_02:10    2024-03-03_03:39      16      16
2024-03-03_02:15    2024-03-03_03:44      16      16
2024-03-03_02:20    2024-03-03_03:48      16      16
2024-03-03_02:25    2024-03-03_03:53      16      16
2024-03-03_02:30    2024-03-03_03:59      16      15
2024-03-03_02:35    2024-03-03_04:04      16      15
2024-03-03_02:40    2024-03-03_04:09      15      15
2024-03-03_02:45    2024-03-03_04:14      15      15
2024-03-03_02:50    2024-03-03_04:19      15      15
2024-03-03_02:55    2024-03-03_04:24      15      15
2024-03-03_03:00    2024-03-03_04:29      15      15
2024-03-03_03:05    2024-03-03_04:33      16      15
2024-03-03_03:10    2024-03-03_04:38      16      15
2024-03-03_03:15    2024-03-03_04:44      16      15
2024-03-03_03:20    2024-03-03_04:49      16      15
2024-03-03_03:25    2024-03-03_04:54      16      15
2024-03-03_03:30    2024-03-03_04:59      15      15
2024-03-03_03:35    2024-03-03_05:04      15      15
2024-03-03_03:40    2024-03-03_05:09      15      15
2024-03-03_03:45    2024-03-03_05:14      15      15
2024-03-03_03:50    2024-03-03_05:20      15      14
2024-03-03_03:55    2024-03-03_05:25      15      14
2024-03-03_04:00    2024-03-03_05:30      14      14
2024-03-03_04:05    2024-03-03_05:36      14      14
2024-03-03_04:10    2024-03-03_05:41      14      14
2024-03-03_04:15    2024-03-03_05:46      15      14
2024-03-03_04:20    2024-03-03_05:51      15      14
2024-03-03_04:25    2024-03-03_05:56      15      15
2024-03-03_04:30    2024-03-03_06:01      15      15
2024-03-03_04:35    2024-03-03_06:06      15      15
2024-03-03_04:40    2024-03-03_06:11      15      15
2024-03-03_04:45    2024-03-03_06:16      15      15
2024-03-03_04:50    2024-03-03_06:21      15      15
2024-03-03_04:55    2024-03-03_06:26      16      15
2024-03-03_05:00    2024-03-03_06:32      16      15
2024-03-03_05:05    2024-03-03_06:37      16      15
2024-03-03_05:10    2024-03-03_06:42      16      15
2024-03-03_05:15    2024-03-03_06:47      16      15
2024-03-03_05:20    2024-03-03_06:52      16      16
2024-03-03_05:25    2024-03-03_06:57      16      16
2024-03-03_05:30    2024-03-03_07:02      16      16
2024-03-03_05:35    2024-03-03_07:07      16      16
2024-03-03_05:40    2024-03-03_07:12      16      16
2024-03-03_05:45    2024-03-03_07:17      16      16
2024-03-03_05:50    2024-03-03_07:22      16      16
2024-03-03_05:55    2024-03-03_07:27      17      16
2024-03-03_06:00    2024-03-03_07:32      17      16
2024-03-03_06:05    2024-03-03_07:37      17      16
2024-03-03_06:10    2024-03-03_07:42      17      16
2024-03-03_06:15    2024-03-03_07:47      16      16
2024-03-03_06:20    2024-03-03_07:52      16      15
2024-03-03_06:25    2024-03-03_07:57      15      15
2024-03-03_06:30    2024-03-03_08:02      15      14
2024-03-03_06:35    2024-03-03_08:07      14      14
2024-03-03_06:40    2024-03-03_08:12      14      14
2024-03-03_06:45    2024-03-03_08:17      14      14
2024-03-03_06:50    2024-03-03_08:22      14      14
2024-03-03_06:55    2024-03-03_08:27      14      14
2024-03-03_07:00    2024-03-03_08:32      14      13
2024-03-03_07:05    2024-03-03_08:36      13      13
2024-03-03_07:10    2024-03-03_08:41      13      13
2024-03-03_07:15    2024-03-03_08:46      13      13
2024-03-03_07:20    2024-03-03_08:50      13      13
2024-03-03_07:25    2024-03-03_08:54      13      13
2024-03-03_07:30    2024-03-03_08:59      12      12
2024-03-03_07:35    2024-03-03_09:03      12      12
2024-03-03_07:40    2024-03-03_09:08      12      12
2024-03-03_07:45    2024-03-03_09:13      12      12
2024-03-03_07:50    2024-03-03_09:19      12      12
2024-03-03_07:55    2024-03-03_09:23      12      12
2024-03-03_08:00    2024-03-03_09:29      12      12
2024-03-03_08:05    2024-03-03_09:34      12      12
2024-03-03_08:10    2024-03-03_09:39      12      12
2024-03-03_08:15    2024-03-03_09:44      12      12
2024-03-03_08:20    2024-03-03_09:49      12      12
2024-03-03_08:25    2024-03-03_09:55      12      12
2024-03-03_08:30    2024-03-03_09:58      11      12
2024-03-03_08:35    2024-03-03_10:03      11      11
2024-03-03_08:40    2024-03-03_10:07      11      11
2024-03-03_08:45    2024-03-03_10:12      11      11
2024-03-03_08:50    2024-03-03_10:17      11      11
